"Tue, Oct 31, 2000","Box Score","Charlotte Hornets",106,"Atlanta Hawks",82,,
"Tue, Oct 31, 2000","Box Score","Sacramento Kings",100,"Chicago Bulls",81,,
"Tue, Oct 31, 2000","Box Score","Milwaukee Bucks",93,"Dallas Mavericks",97,,
"Tue, Oct 31, 2000","Box Score","Phoenix Suns",94,"Golden State Warriors",96,,
"Tue, Oct 31, 2000","Box Score","Minnesota Timberwolves",106,"Houston Rockets",98,,
"Tue, Oct 31, 2000","Box Score","Cleveland Cavaliers",86,"New Jersey Nets",82,,
"Tue, Oct 31, 2000","Box Score","Philadelphia 76ers",101,"New York Knicks",72,,
"Tue, Oct 31, 2000","Box Score","Washington Wizards",86,"Orlando Magic",97,,
"Tue, Oct 31, 2000","Box Score","Los Angeles Lakers",96,"Portland Trail Blazers",86,,
"Tue, Oct 31, 2000","Box Score","Indiana Pacers",85,"San Antonio Spurs",98,,
"Tue, Oct 31, 2000","Box Score","Detroit Pistons",104,"Toronto Raptors",95,,
"Tue, Oct 31, 2000","Box Score","Los Angeles Clippers",94,"Utah Jazz",107,,
"Tue, Oct 31, 2000","Box Score","Seattle SuperSonics",88,"Vancouver Grizzlies",94,,
"Wed, Nov 1, 2000","Box Score","Detroit Pistons",83,"Boston Celtics",103,,
"Wed, Nov 1, 2000","Box Score","Washington Wizards",95,"Charlotte Hornets",77,,
"Wed, Nov 1, 2000","Box Score","Sacramento Kings",100,"Cleveland Cavaliers",102,2OT,
"Wed, Nov 1, 2000","Box Score","Utah Jazz",97,"Los Angeles Lakers",92,,
"Wed, Nov 1, 2000","Box Score","Orlando Magic",79,"Miami Heat",105,,
"Wed, Nov 1, 2000","Box Score","Toronto Raptors",98,"Philadelphia 76ers",104,,
"Wed, Nov 1, 2000","Box Score","Denver Nuggets",99,"Seattle SuperSonics",112,,
"Thu, Nov 2, 2000","Box Score","Indiana Pacers",88,"Dallas Mavericks",94,,
"Thu, Nov 2, 2000","Box Score","Golden State Warriors",97,"Denver Nuggets",101,,
"Thu, Nov 2, 2000","Box Score","Milwaukee Bucks",93,"Houston Rockets",115,,
"Thu, Nov 2, 2000","Box Score","Vancouver Grizzlies",99,"Los Angeles Clippers",91,,
"Thu, Nov 2, 2000","Box Score","Atlanta Hawks",69,"New York Knicks",94,,
"Thu, Nov 2, 2000","Box Score","Portland Trail Blazers",82,"Phoenix Suns",108,,
"Thu, Nov 2, 2000","Box Score","Minnesota Timberwolves",91,"San Antonio Spurs",103,,
"Fri, Nov 3, 2000","Box Score","Toronto Raptors",91,"Boston Celtics",93,,
"Fri, Nov 3, 2000","Box Score","Miami Heat",79,"Charlotte Hornets",83,,
"Fri, Nov 3, 2000","Box Score","New Jersey Nets",92,"Chicago Bulls",82,,
"Fri, Nov 3, 2000","Box Score","Sacramento Kings",100,"Detroit Pistons",93,,
"Fri, Nov 3, 2000","Box Score","Philadelphia 76ers",87,"Orlando Magic",80,,
"Fri, Nov 3, 2000","Box Score","New York Knicks",80,"Washington Wizards",76,,
"Sat, Nov 4, 2000","Box Score","Orlando Magic",107,"Atlanta Hawks",104,,
"Sat, Nov 4, 2000","Box Score","Boston Celtics",89,"Cleveland Cavaliers",91,,
"Sat, Nov 4, 2000","Box Score","Utah Jazz",112,"Dallas Mavericks",106,,
"Sat, Nov 4, 2000","Box Score","Phoenix Suns",102,"Denver Nuggets",99,,
"Sat, Nov 4, 2000","Box Score","San Antonio Spurs",117,"Golden State Warriors",105,,
"Sat, Nov 4, 2000","Box Score","Chicago Bulls",81,"Indiana Pacers",94,,
"Sat, Nov 4, 2000","Box Score","Houston Rockets",74,"Los Angeles Clippers",77,,
"Sat, Nov 4, 2000","Box Score","Philadelphia 76ers",84,"Miami Heat",82,,
"Sat, Nov 4, 2000","Box Score","Detroit Pistons",88,"Milwaukee Bucks",97,,
"Sat, Nov 4, 2000","Box Score","Sacramento Kings",91,"Minnesota Timberwolves",99,,
"Sat, Nov 4, 2000","Box Score","Charlotte Hornets",98,"New Jersey Nets",87,,
"Sat, Nov 4, 2000","Box Score","Portland Trail Blazers",97,"Seattle SuperSonics",90,,
"Sat, Nov 4, 2000","Box Score","Washington Wizards",96,"Toronto Raptors",103,,
"Sat, Nov 4, 2000","Box Score","Los Angeles Lakers",98,"Vancouver Grizzlies",89,,
"Sun, Nov 5, 2000","Box Score","Los Angeles Clippers",103,"Los Angeles Lakers",108,,
"Sun, Nov 5, 2000","Box Score","Houston Rockets",99,"Phoenix Suns",104,,
"Mon, Nov 6, 2000","Box Score","Dallas Mavericks",108,"Denver Nuggets",96,,
"Mon, Nov 6, 2000","Box Score","Seattle SuperSonics",99,"Orlando Magic",110,,
"Mon, Nov 6, 2000","Box Score","Portland Trail Blazers",75,"Sacramento Kings",79,,
"Mon, Nov 6, 2000","Box Score","Minnesota Timberwolves",92,"Utah Jazz",98,,
"Mon, Nov 6, 2000","Box Score","Atlanta Hawks",87,"Vancouver Grizzlies",97,,
"Tue, Nov 7, 2000","Box Score","Washington Wizards",88,"Chicago Bulls",83,,
"Tue, Nov 7, 2000","Box Score","Los Angeles Lakers",74,"Houston Rockets",84,,
"Tue, Nov 7, 2000","Box Score","New York Knicks",103,"Milwaukee Bucks",89,,
"Tue, Nov 7, 2000","Box Score","San Antonio Spurs",81,"Phoenix Suns",100,,
"Tue, Nov 7, 2000","Box Score","Atlanta Hawks",88,"Portland Trail Blazers",97,,
"Tue, Nov 7, 2000","Box Score","Boston Celtics",75,"Toronto Raptors",105,,
"Wed, Nov 8, 2000","Box Score","Vancouver Grizzlies",101,"Dallas Mavericks",74,,
"Wed, Nov 8, 2000","Box Score","Minnesota Timberwolves",107,"Denver Nuggets",109,OT,
